Study_word,test_word,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cushion,,,,0,0,0,1,,,,,0.1320514001417905,,0.03138340008445084,0.1320514001417905,0.1320514001417905,2.938679900020361,1.0333333333333334,2.859735199948773,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
Cruise,,,,0,1,1,11,,,,,2.998211400117725,,2.943425200181082,2.998211400117725,2.998211400117725,4.421610200079158,1.4055555555555554,1.4247783001046628,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
Pastry,,,,0,2,2,9,,,,,4.463918700115755,,4.422190900193527,4.463918700115755,4.463918700115755,5.9538086000829935,1.7444444444444445,1.4817384001798928,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
board,,,,0,3,3,4,,,,,5.99661420006305,,5.954420400084928,5.99661420006305,5.99661420006305,7.503741000080481,1.7444444444444445,1.5025796999689192,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
mouse,,,,0,4,4,8,,,,,7.546470300061628,,7.504280500113964,7.546470300061628,7.546470300061628,10.001318500144407,2.2111111111111112,2.457258699927479,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
Laptop,,,,0,5,5,5,,,,,10.045643200166523,,10.001754000084475,10.045643200166523,10.045643200166523,12.169863200047985,1.261111111111111,2.1165823999326676,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
Police,,,,0,6,6,12,,,,,12.21154040005058,,12.170480500208214,12.21154040005058,12.21154040005058,14.131354300072417,1.8444444444444446,1.9284367999061942,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
Case,,,,0,7,7,10,,,,,14.16039100009948,,14.13158809999004,14.16039100009948,14.16039100009948,17.58315910003148,3.688888888888889,3.4135504998266697,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
Chart,,,,0,8,8,6,,,,,17.626208200119436,,17.58372059999965,17.626208200119436,17.626208200119436,20.115575600182638,1.9,2.4890045998618007,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
Poster,,,,0,9,9,14,,,,,20.158932300051674,,20.116341800196096,20.158932300051674,20.158932300051674,21.614522100193426,1.45,1.4513646999839693,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
Keys,,,,0,10,10,13,,,,,21.657973000081256,,21.615052400156856,21.657973000081256,21.657973000081256,23.11207090015523,1.2722222222222221,1.4643374001607299,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
marble,,,,0,11,11,3,,,,,23.14069430017844,,23.112345200031996,23.14069430017844,23.14069430017844,24.61371020018123,2.2333333333333334,1.4637140000704676,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
T-shirt,,,,0,12,12,7,,,,,24.656837600050494,,24.614213300170377,24.656837600050494,24.656837600050494,26.210689700208604,1,1.56296640005894,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
phone,,,,0,13,13,2,,,,,26.239967700093985,,26.210928000044078,26.239967700093985,26.239967700093985,27.447173700202256,1.7277777777777779,1.1996206999756396,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
book,,,,0,14,14,0,,,,,27.489695800002664,,27.447776400018483,27.489695800002664,27.489695800002664,28.94646990019828,1.0055555555555555,1.4551909000147134,,,,,,,,,,,,,,,762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,_a_bl_,Marble,old,,,,,0,0,0,11,28.98900180007331,,,,,,,,28.959516300121322,28.98900180007331,28.98900180007331,28.98900180007331,0.01786360004916787,36.87485200003721,"table
",[0.06666666666666667],[-0.29583333333333334],[1],[0],[0],[7.909225899958983],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,P_st_r,Poster,old,,,,,0,1,1,9,36.903110900195315,,,,,,,,36.876607300015166,36.903110900195315,36.903110900195315,36.903110900195315,0.003946899902075529,42.536571600008756,poster,[0.06666666666666667],[-0.29583333333333334],[1],[0],[0],[5.655809000134468],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,ta_l_,Table,new,,,,,0,2,2,15,42.552189900074154,,,,,,,,42.537245500134304,42.552189900074154,42.552189900074154,42.552189900074154,0.0024149001110345125,47.536072900053114,table,[0.06666666666666667],[-0.29583333333333334],[1],[0],[0],[4.996070499997586],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,T_hi_t,Tshirt,old,,,,,0,3,3,2,47.55025130021386,,,,,,,,47.53676150017418,47.55025130021386,47.55025130021386,47.55025130021386,0.00241169985383749,54.11591560021043,tshirt,[0.06666666666666667],[-0.29583333333333334],[1],[0],[0],[6.576309900032356],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,_ha_t,Chart,old,,,,,0,4,4,1,54.131086400011554,,,,,,,,54.116663300199434,54.131086400011554,54.131086400011554,54.131086400011554,0.00310120009817183,58.83216240000911,chart,[0.06666666666666667],[-0.29583333333333334],[1],[0],[0],[4.711527100065723],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,_o_rd,Board,old,,,,,0,5,5,10,58.86282300017774,,,,,,,,58.83342700009234,58.86282300017774,58.86282300017774,58.86282300017774,0.004931200062856078,63.129791600164026,board,[0.06666666666666667],[-0.29583333333333334],[1],[0],[0],[4.290946599794552],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,c_s_,Case,old,,,,,0,6,6,5,63.1607871002052,,,,,,,,63.13073980016634,63.1607871002052,63.1607871002052,63.1607871002052,0.0035321000032126904,65.72995100007392,case,[0.06666666666666667],[-0.29583333333333334],[1],[0],[0],[2.5949204000644386],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,l_pt_p,Laptop,old,,,,,0,7,7,0,65.76045739999972,,,,,,,,65.73086920008063,65.76045739999972,65.76045739999972,65.76045739999972,0.003471299773082137,70.1774850001093,laptop,[0.06666666666666667],[-0.29583333333333334],[1],[0],[0],[4.442841499811038],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,p_nc_l,Pencil,new,,,,,0,8,8,16,70.19243140006438,,,,,,,,70.17827200004831,70.19243140006438,70.19243140006438,70.19243140006438,0.0026404999662190676,74.56078719999641,pencil,[0.06666666666666667],[-0.29583333333333334],[1],[0],[0],[4.379247199976817],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,_ru_is_,Cruise,old,,,,,0,9,9,6,74.59045920008793,,,,,,,,74.5619156002067,74.59045920008793,74.59045920008793,74.59045920008793,0.004578100051730871,80.75851100008003,cruise,"[0.006944444444444444, -0.011111111111111112]","[-0.2638888888888889, -0.28888888888888886]","[1, 1]","[0, 0]","[0, 0]","[5.02408630005084, 6.191013099858537]",['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,c_s_io_,Cushion,old,,,,,0,10,10,14,80.78871410014108,,,,,,,,80.7598003000021,80.78871410014108,80.78871410014108,80.78871410014108,0.005406599957495928,89.60513030015863,cushion,[-0.018055555555555554],[-0.30972222222222223],[1],[0],[0],[8.839021999854594],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,v_s_,Vase,new,,,,,0,11,11,17,89.63546520005912,,,,,,,,89.60625980002806,89.63546520005912,89.63546520005912,89.63546520005912,0.006385500077158213,93.13614680012688,vase,[-0.018055555555555554],[-0.30972222222222223],[1],[0],[0],[3.5231778000015765],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,K_y_,Keys,old,,,,,0,12,12,8,93.1513301001396,,,,,,,,93.13676620018668,93.1513301001396,93.1513301001396,93.1513301001396,0.0021310998126864433,96.23635590006597,keys,[-0.018055555555555554],[-0.30972222222222223],[1],[0],[0],[3.0965656999032944],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,P_as_tr_,Pastry,old,,,,,0,13,13,4,96.26702900021337,,,,,,,,96.23757090000436,96.26702900021337,96.26702900021337,96.26702900021337,0.004813899984583259,106.24773770011961,pastry,[],[],[],[],[],[],[],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,bo_t_e,Bottle,new,,,,,0,14,14,18,106.26398460008204,,,,,,,,106.24870160012506,106.26398460008204,106.26398460008204,106.26398460008204,0.01409330009482801,106.41629470000044,,[-0.018055555555555554],[-0.30972222222222223],[1],[0],[0],[0.16403410001657903],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,_oo_,Book,old,,,,,0,15,15,13,106.4459674002137,,,,,,,,106.41722710011527,106.4459674002137,106.4459674002137,106.4459674002137,0.0040563999209553,110.11423810012639,book,[-0.018055555555555554],[-0.30972222222222223],[1],[0],[0],[3.692202800186351],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,_ho_e,Phone,old,,,,,0,16,16,12,110.14530570013449,,,,,,,,110.11522240005434,110.14530570013449,110.14530570013449,110.14530570013449,0.003533800132572651,113.4641954000108,shoes,[-0.018055555555555554],[-0.30972222222222223],[1],[0],[0],[3.344432800076902],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,_ou_se,mouse,old,,,,,0,17,17,3,113.49404770019464,,,,,,,,113.46558380010538,113.49404770019464,113.49404770019464,113.49404770019464,0.005400900030508637,123.47543700016104,house,[],[],[],[],[],[],[],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,P_li_e,Police,old,,,,,0,18,18,7,123.50728510017507,,,,,,,,123.47664640005678,123.50728510017507,123.50728510017507,123.50728510017507,0.016117899911478162,127.47483620001003,police,[-0.006944444444444444],[-0.29305555555555557],[1],[0],[0],[3.9928252000827342],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
,c_m_ra,Camera,new,,,,,0,19,19,19,127.48975470010191,,,,,,,,127.47543710004538,127.48975470010191,127.48975470010191,127.48975470010191,0.002493100007995963,130.723551500123,camera,[-0.006944444444444444],[-0.29305555555555557],[1],[0],[0],[3.2447728000115603],['text_3'],762814,001,2024-11-07_16h14.59.676,word_primimg,2024.1.5,None,2024-11-07 16h15.08.498413 +0530,
